2020-06-09 14:43:01,858:INFO:
=======
models:UNet++,
epoch:100,
batch size:4
========
2020-06-09 14:43:04,648:INFO:Epoch 0/99
2020-06-09 14:44:00,336:INFO:86/188,train_loss:0.258
2020-06-09 14:44:00,979:INFO:87/188,train_loss:0.265
2020-06-09 14:44:01,624:INFO:88/188,train_loss:0.262
2020-06-09 14:44:02,279:INFO:89/188,train_loss:0.255
2020-06-09 14:44:02,928:INFO:90/188,train_loss:0.289
2020-06-09 14:44:03,572:INFO:91/188,train_loss:0.269
2020-06-09 14:44:04,220:INFO:92/188,train_loss:0.265
2020-06-09 14:44:04,874:INFO:93/188,train_loss:0.266
2020-06-09 14:44:05,522:INFO:94/188,train_loss:0.251
2020-06-09 14:44:06,167:INFO:95/188,train_loss:0.259
2020-06-09 14:44:06,807:INFO:96/188,train_loss:0.260
2020-06-09 14:44:07,452:INFO:97/188,train_loss:0.268
2020-06-09 14:44:08,097:INFO:98/188,train_loss:0.281
2020-06-09 14:44:08,742:INFO:99/188,train_loss:0.262
2020-06-09 14:44:09,387:INFO:100/188,train_loss:0.272
2020-06-09 14:44:10,032:INFO:101/188,train_loss:0.273
2020-06-09 14:44:10,681:INFO:102/188,train_loss:0.265
2020-06-09 14:44:11,325:INFO:103/188,train_loss:0.242
2020-06-09 14:44:11,969:INFO:104/188,train_loss:0.253
2020-06-09 14:44:12,616:INFO:105/188,train_loss:0.245
2020-06-09 14:44:13,260:INFO:106/188,train_loss:0.250
2020-06-09 14:44:13,912:INFO:107/188,train_loss:0.254
2020-06-09 14:44:14,553:INFO:108/188,train_loss:0.246
2020-06-09 14:44:15,195:INFO:109/188,train_loss:0.275
2020-06-09 14:44:15,849:INFO:110/188,train_loss:0.254
2020-06-09 14:44:16,498:INFO:111/188,train_loss:0.250
2020-06-09 14:44:17,144:INFO:112/188,train_loss:0.244
2020-06-09 14:44:17,789:INFO:113/188,train_loss:0.225
2020-06-09 14:44:18,436:INFO:114/188,train_loss:0.228
2020-06-09 14:44:19,078:INFO:115/188,train_loss:0.229
2020-06-09 14:44:19,726:INFO:116/188,train_loss:0.252
2020-06-09 14:44:20,384:INFO:117/188,train_loss:0.255
2020-06-09 14:44:21,028:INFO:118/188,train_loss:0.231
2020-06-09 14:44:21,679:INFO:119/188,train_loss:0.270
2020-06-09 14:44:22,327:INFO:120/188,train_loss:0.228
2020-06-09 14:44:22,974:INFO:121/188,train_loss:0.253
2020-06-09 14:44:23,618:INFO:122/188,train_loss:0.241
2020-06-09 14:44:24,265:INFO:123/188,train_loss:0.229
2020-06-09 14:44:24,908:INFO:124/188,train_loss:0.229
2020-06-09 14:44:25,552:INFO:125/188,train_loss:0.256
2020-06-09 14:44:26,206:INFO:126/188,train_loss:0.230
2020-06-09 14:44:26,859:INFO:127/188,train_loss:0.253
2020-06-09 14:44:27,501:INFO:128/188,train_loss:0.228
2020-06-09 14:44:28,154:INFO:129/188,train_loss:0.260
2020-06-09 14:44:28,795:INFO:130/188,train_loss:0.243
2020-06-09 14:44:29,439:INFO:131/188,train_loss:0.240
2020-06-09 14:44:30,087:INFO:132/188,train_loss:0.243
2020-06-09 14:44:30,731:INFO:133/188,train_loss:0.245
2020-06-09 14:44:31,376:INFO:134/188,train_loss:0.239
2020-06-09 14:44:32,029:INFO:135/188,train_loss:0.234
2020-06-09 14:44:32,686:INFO:136/188,train_loss:0.234
2020-06-09 14:44:33,338:INFO:137/188,train_loss:0.228
2020-06-09 14:44:33,987:INFO:138/188,train_loss:0.229
2020-06-09 14:44:34,641:INFO:139/188,train_loss:0.212
2020-06-09 14:44:35,298:INFO:140/188,train_loss:0.232
2020-06-09 14:44:35,954:INFO:141/188,train_loss:0.217
2020-06-09 14:44:36,606:INFO:142/188,train_loss:0.229
2020-06-09 14:44:37,258:INFO:143/188,train_loss:0.259
2020-06-09 14:44:37,913:INFO:144/188,train_loss:0.228
2020-06-09 14:44:38,571:INFO:145/188,train_loss:0.234
2020-06-09 14:44:39,215:INFO:146/188,train_loss:0.267
2020-06-09 14:44:39,859:INFO:147/188,train_loss:0.217
2020-06-09 14:44:40,512:INFO:148/188,train_loss:0.214
2020-06-09 14:44:41,153:INFO:149/188,train_loss:0.222
2020-06-09 14:44:41,797:INFO:150/188,train_loss:0.260
2020-06-09 14:44:42,455:INFO:151/188,train_loss:0.255
2020-06-09 14:44:43,099:INFO:152/188,train_loss:0.255
2020-06-09 14:44:43,746:INFO:153/188,train_loss:0.247
2020-06-09 14:44:44,398:INFO:154/188,train_loss:0.241
2020-06-09 14:44:45,053:INFO:155/188,train_loss:0.248
2020-06-09 14:44:45,696:INFO:156/188,train_loss:0.240
2020-06-09 14:44:46,344:INFO:157/188,train_loss:0.214
2020-06-09 14:44:46,992:INFO:158/188,train_loss:0.234
2020-06-09 14:44:47,637:INFO:159/188,train_loss:0.221
2020-06-09 14:44:48,287:INFO:160/188,train_loss:0.223
2020-06-09 14:44:48,945:INFO:161/188,train_loss:0.222
2020-06-09 14:44:49,592:INFO:162/188,train_loss:0.216
2020-06-09 14:44:50,242:INFO:163/188,train_loss:0.226
2020-06-09 14:44:50,893:INFO:164/188,train_loss:0.224
2020-06-09 14:44:51,544:INFO:165/188,train_loss:0.224
2020-06-09 14:44:52,196:INFO:166/188,train_loss:0.224
2020-06-09 14:44:52,844:INFO:167/188,train_loss:0.219
2020-06-09 14:44:53,488:INFO:168/188,train_loss:0.214
2020-06-09 14:44:54,134:INFO:169/188,train_loss:0.224
2020-06-09 14:44:54,786:INFO:170/188,train_loss:0.224
2020-06-09 14:44:55,431:INFO:171/188,train_loss:0.216
2020-06-09 14:44:56,076:INFO:172/188,train_loss:0.217
2020-06-09 14:44:56,733:INFO:173/188,train_loss:0.228
2020-06-09 14:44:57,384:INFO:174/188,train_loss:0.221
2020-06-09 14:44:58,031:INFO:175/188,train_loss:0.217
2020-06-09 14:44:58,685:INFO:176/188,train_loss:0.216
2020-06-09 14:44:59,329:INFO:177/188,train_loss:0.223
2020-06-09 14:44:59,973:INFO:178/188,train_loss:0.206
2020-06-09 14:45:00,632:INFO:179/188,train_loss:0.218
2020-06-09 14:45:01,279:INFO:180/188,train_loss:0.214
2020-06-09 14:45:01,933:INFO:181/188,train_loss:0.206
2020-06-09 14:45:02,583:INFO:182/188,train_loss:0.229
2020-06-09 14:45:03,239:INFO:183/188,train_loss:0.225
2020-06-09 14:45:03,884:INFO:184/188,train_loss:0.214
2020-06-09 14:45:04,530:INFO:185/188,train_loss:0.225
2020-06-09 14:45:05,179:INFO:186/188,train_loss:0.220
2020-06-09 14:45:05,823:INFO:187/188,train_loss:0.218
2020-06-09 14:45:06,016:INFO:188/188,train_loss:0.203
